label,lookback_days,success_rate_gate,min_matched_signals,trade_start,trade_end,final_equity,total_return_pct,max_drawdown_pct,trade_count,win_rate_pct,avg_trade_return_pct,seed
placebo_0,60,80.0,10,2021-01-01,2026-03-13,11603525.201284435,115935.25201284436,-72.9703964279117,1280,56.796875,1.361155759770415,0
placebo_1,60,80.0,10,2021-01-01,2026-03-13,3023336.4984367006,30133.364984367006,-55.35538911785378,1278,55.86854460093896,1.1770136284048576,1
placebo_2,60,80.0,10,2021-01-01,2026-03-13,386790.27036541316,3767.9027036541315,-72.99706976263562,1281,54.17642466822795,0.8433803067755242,2
placebo_3,60,80.0,10,2021-01-01,2026-03-13,6150019.063768801,61400.190637688014,-57.25506330721147,1277,56.2255285826155,1.2713888429097542,3
placebo_4,60,80.0,10,2021-01-01,2026-03-13,3920333.320184611,39103.33320184611,-47.20927826214969,1281,55.893832943013265,1.1981881160390992,4
placebo_5,60,80.0,10,2021-01-01,2026-03-13,4679026.528626336,46690.26528626336,-48.20986322673705,1275,56.07843137254902,1.2325018874583855,5
placebo_6,60,80.0,10,2021-01-01,2026-03-13,1436763.3840346448,14267.633840346449,-63.59531856453062,1267,55.327545382794,1.079638248963484,6
placebo_7,60,80.0,10,2021-01-01,2026-03-13,1328403.7495082282,13184.037495082282,-60.66484957705909,1278,55.08607198748044,1.0305189044925185,7
placebo_8,60,80.0,10,2021-01-01,2026-03-13,630891.0985060532,6208.910985060532,-57.778356644876695,1274,54.55259026687598,0.9288866471886106,8
placebo_9,60,80.0,10,2021-01-01,2026-03-13,80938080.59004292,809280.8059004291,-63.29840136315026,1280,58.28124999999999,1.6648844786712622,9
placebo_10,60,80.0,10,2021-01-01,2026-03-13,1632917.0227177986,16229.170227177985,-58.28652119011193,1275,55.2156862745098,1.0627219300195256,10
placebo_11,60,80.0,10,2021-01-01,2026-03-13,401503.3201863936,3915.033201863936,-49.09935437727134,1274,54.00313971742543,0.8269490098904594,11
placebo_12,60,80.0,10,2021-01-01,2026-03-13,2062637.9242644678,20526.379242644678,-72.00802491609065,1262,55.467511885895405,1.117854863805979,12
placebo_13,60,80.0,10,2021-01-01,2026-03-13,524960.9506251181,5149.609506251181,-68.34498378764427,1267,54.61720599842147,0.9470722531483907,13
placebo_14,60,80.0,10,2021-01-01,2026-03-13,18196415.52901504,181864.1552901504,-66.93418756395992,1278,57.04225352112676,1.4306741694196325,14
placebo_15,60,80.0,10,2021-01-01,2026-03-13,4007651.3476878665,39976.51347687867,-71.75678114096353,1260,56.26984126984127,1.2595263174138405,15
placebo_16,60,80.0,10,2021-01-01,2026-03-13,5630526.248844783,56205.26248844783,-74.4164235848574,1278,56.18153364632238,1.2585877472707119,16
placebo_17,60,80.0,10,2021-01-01,2026-03-13,814280.0992800735,8042.800992800736,-52.265228702938124,1275,54.74509803921569,0.948678971809351,17
placebo_18,60,80.0,10,2021-01-01,2026-03-13,2731669.992840538,27216.699928405375,-71.87871113482247,1278,55.633802816901415,1.129448867369665,18
placebo_19,60,80.0,10,2021-01-01,2026-03-13,139906517.68258277,1398965.1768258277,-47.55502528199303,1280,58.67187499999999,1.750821978671262,19
placebo_20,60,80.0,10,2021-01-01,2026-03-13,412903.7836610913,4029.037836610913,-66.15199598109396,1261,54.08406026962728,0.8228122809395146,20
placebo_21,60,80.0,10,2021-01-01,2026-03-13,6889404.847838152,68794.04847838152,-70.749812004696,1276,56.42633228840125,1.2931034482758679,21
placebo_22,60,80.0,10,2021-01-01,2026-03-13,10037494.648508865,100274.94648508866,-58.43810562733198,1279,56.60672400312744,1.343232814411678,22
placebo_23,60,80.0,10,2021-01-01,2026-03-13,60419652.15093492,604096.5215093491,-53.14295488119287,1279,58.09225957779516,1.625994382676585,23
placebo_24,60,80.0,10,2021-01-01,2026-03-13,14511979.080117133,145019.79080117133,-51.11270987537739,1277,57.00861393891934,1.4200482290667895,24
placebo_25,60,80.0,10,2021-01-01,2026-03-13,971011.3908435719,9610.113908435718,-55.42582039602255,1275,55.05882352941176,1.01845728517682,25
placebo_26,60,80.0,10,2021-01-01,2026-03-13,7438600.045307437,74286.00045307438,-52.56825777970494,1280,56.40625,1.2952048532719433,26
placebo_27,60,80.0,10,2021-01-01,2026-03-13,7064399.617048265,70543.99617048264,-64.61434598189437,1277,56.53876272513704,1.3114457098544974,27
placebo_28,60,80.0,10,2021-01-01,2026-03-13,836640.7919943667,8266.407919943667,-59.72647289989421,1278,54.694835680751176,0.9598543775821468,28
placebo_29,60,80.0,10,2021-01-01,2026-03-13,92405.19538544866,824.0519538544867,-61.647529484663096,1273,53.102906520031425,0.6226762658343071,29
