label,lookback_days,success_rate_gate,min_matched_signals,trade_start,trade_end,final_equity,total_return_pct,max_drawdown_pct,trade_count,win_rate_pct,avg_trade_return_pct,segment
official_60d,60,80.0,10,2021-01-01,2021-06-30,14656.402401692645,46.56402401692645,-39.7718304674012,121,54.54545454545454,0.9090909090909138,2021-H1
official_60d,60,80.0,10,2021-07-01,2021-12-31,29166.055569052092,191.6605556905209,-27.23089705852787,125,60.8,2.1600000000000072,2021-H2
official_60d,60,80.0,10,2022-01-01,2022-06-30,13131.28773026892,31.31287730268919,-29.904122351339367,112,53.57142857142857,0.7142857142857183,2022-H1
official_60d,60,80.0,10,2022-07-01,2022-12-31,5947.38877252798,-40.52611227472019,-57.02501954741237,120,45.83333333333333,-0.833333333333327,2022-H2
official_60d,60,80.0,10,2023-01-01,2023-06-30,33617.596331955836,236.17596331955838,-29.459224704593378,122,62.295081967213115,2.540983606557386,2023-H1
official_60d,60,80.0,10,2023-07-01,2023-12-31,16612.05723920663,66.12057239206632,-34.35137133989462,124,55.64516129032258,1.1290322580645216,2023-H2
official_60d,60,80.0,10,2024-01-01,2024-06-30,15946.857279699692,59.46857279699693,-30.169902813673634,121,55.371900826446286,1.0743801652892613,2024-H1
official_60d,60,80.0,10,2024-07-01,2024-12-31,15752.691276811465,57.526912768114656,-25.588140100642775,125,56.00000000000001,1.2000000000000062,2024-H2
official_60d,60,80.0,10,2025-01-01,2025-06-30,24017.128358231217,140.17128358231216,-23.196893382600713,117,58.97435897435898,1.794871794871801,2025-H1
official_60d,60,80.0,10,2025-07-01,2025-12-31,48009.4203215763,380.09420321576295,-19.95892244529025,122,64.75409836065575,2.950819672131155,2025-H2
official_60d,60,80.0,10,2026-01-01,2026-03-13,11516.310782626246,15.163107826262468,-25.476695588370657,36,55.55555555555556,1.1113406199748825,2026-H1
