years,label,extra_tickers,usable_tickers,final_equity,total_return_pct,max_drawdown_pct,trade_count,win_rate_pct,sharpe_rf_10y_tbill,extra_trade_count
1,baseline_qqq_only_filtered,,97,123644.14909423582,1136.441490942358,-44.173915185442716,240,61.66666666666667,3.7642138333154342,0
1,plus_tqqq,TQQQ,98,124888.02111737277,1148.8802111737277,-44.125423553451625,240,61.66666666666667,3.777353292117243,2
1,plus_soxl,SOXL,98,165211.81174182176,1552.1181174182175,-44.195507288482105,240,62.916666666666664,4.158717184608206,3
1,plus_upro,UPRO,98,137111.99039393663,1271.1199039393664,-44.06881786248514,240,62.083333333333336,3.903684763382743,5
1,plus_soxl_upro,"SOXL,UPRO",99,180909.30781953572,1709.0930781953575,-44.295157506995764,240,63.33333333333333,4.280734388253037,8
1,plus_tqqq_soxl_upro,"TQQQ,SOXL,UPRO",100,180790.113421831,1707.9011342183098,-44.29515323663472,240,63.33333333333333,4.284395567967718,9
2,baseline_qqq_only_filtered,,97,750847.4956968667,7408.474956968666,-44.356828913556356,485,60.0,3.2375822779716534,0
2,plus_tqqq,TQQQ,98,587849.8040591935,5778.498040591935,-44.307865669975044,484,59.71074380165289,3.0802773768750287,6
2,plus_soxl,SOXL,98,1011733.5078736688,10017.335078736689,-44.359655702372876,485,60.618556701030926,3.445224745159922,3
2,plus_upro,UPRO,98,831562.4212994358,8215.624212994358,-44.31370289273008,485,60.20618556701031,3.3087471655403617,7
2,plus_soxl_upro,"SOXL,UPRO",99,1115541.390216785,11055.41390216785,-44.32881143581165,485,60.824742268041234,3.513416247650415,10
2,plus_tqqq_soxl_upro,"TQQQ,SOXL,UPRO",100,865380.0832448206,8553.800832448207,-44.31930409688714,484,60.537190082644635,3.3507566003039324,14
3,baseline_qqq_only_filtered,,97,2539992.1565518193,25299.921565518194,-44.328554279450394,733,58.663028649386085,2.749619105817256,0
3,plus_tqqq,TQQQ,98,2236817.1102379085,22268.171102379085,-44.333169809450226,733,58.52660300136425,2.692937376680096,6
3,plus_soxl,SOXL,98,3425872.8572252737,34158.72857225274,-44.34153860433283,733,59.07230559345157,2.883550027203994,3
3,plus_upro,UPRO,98,2805499.3390330235,27954.993390330237,-44.33482263786792,733,58.79945429740792,2.794145190296683,7
3,plus_soxl_upro,"SOXL,UPRO",99,3790473.682416242,37804.73682416242,-44.33756481831191,733,59.2087312414734,2.9291070911025976,10
3,plus_tqqq_soxl_upro,"TQQQ,SOXL,UPRO",100,3385753.8436556095,33757.5384365561,-44.33791572307133,733,59.07230559345157,2.8776492350196583,14
