segment_id,regime,regime_label,start_date,end_date,trading_days,avg_reversal_score,market_return_pct,strategy_return_pct,strategy_max_dd_pct,trade_count
0,favorable,Favorable,2021-04-01,2021-09-29,126,77.37,10.95,56.6,-33.76,124
1,selective,Selective,2021-09-30,2021-10-11,8,59.1,0.12,14.86,-8.87,8
2,favorable,Favorable,2021-10-12,2022-01-21,71,76.58,-1.4,59.46,-30.17,64
3,risk_off,Risk-Off,2022-01-24,2022-03-28,45,11.52,3.41,9.43,-23.71,42
4,selective,Selective,2022-03-29,2022-04-11,10,54.78,-8.16,3.69,-13.89,10
5,risk_off,Risk-Off,2022-04-12,2022-08-10,83,8.52,-3.8,24.18,-28.63,76
6,caution,Caution,2022-08-11,2022-08-17,5,42.52,1.36,-0.66,-9.71,5
7,selective,Selective,2022-08-18,2022-08-31,10,49.4,-9.11,-18.66,-18.66,9
8,risk_off,Risk-Off,2022-09-01,2022-11-28,61,12.36,-5.4,3.1,-31.53,57
9,selective,Selective,2022-11-29,2022-12-28,21,54.65,-7.07,19.07,-15.27,21
10,risk_off,Risk-Off,2022-12-29,2023-01-09,7,31.89,1.54,9.38,-9.67,7
11,selective,Selective,2023-01-10,2023-01-25,11,65.65,5.46,20.69,-9.44,11
12,favorable,Favorable,2023-01-26,2023-09-21,165,78.3,22.53,205.44,-26.51,162
13,selective,Selective,2023-09-22,2023-11-02,30,61.87,1.55,-7.86,-23.43,28
14,favorable,Favorable,2023-11-03,2024-04-11,109,75.96,21.59,71.13,-19.51,108
15,selective,Selective,2024-04-12,2024-06-07,40,63.52,5.63,10.38,-27.4,40
16,favorable,Favorable,2024-06-10,2024-12-16,132,79.74,16.12,364.92,-23.76,129
17,selective,Selective,2024-12-17,2025-01-17,21,66.3,-2.47,2.57,-19.02,20
18,favorable,Favorable,2025-01-21,2025-03-11,35,80.63,-10.14,6.24,-10.83,33
19,risk_off,Risk-Off,2025-03-12,2025-05-13,44,17.1,8.27,56.12,-27.15,43
20,favorable,Favorable,2025-05-14,2025-08-04,56,76.85,8.88,118.57,-18.95,56
21,selective,Selective,2025-08-05,2025-08-12,6,66.1,3.53,15.47,-5.0,6
22,favorable,Favorable,2025-08-13,2025-08-25,9,71.82,-1.73,47.73,0.0,9
23,selective,Selective,2025-08-26,2025-10-02,27,65.08,5.91,18.24,-14.47,27
24,favorable,Favorable,2025-10-03,2025-10-14,8,72.6,-0.86,-5.71,-18.55,8
25,selective,Selective,2025-10-15,2025-10-22,6,66.43,0.54,-3.54,-9.75,6
26,favorable,Favorable,2025-10-23,2026-03-05,91,76.65,-0.15,344.45,-19.56,90
27,selective,Selective,2026-03-06,2026-03-24,13,59.83,-2.51,-27.17,-27.17,13
28,risk_off,Risk-Off,2026-03-25,2026-03-31,5,21.8,-1.81,0.0,0.0,0
