position_id,ticker,contract_symbol,entry_timestamp_et,exit_timestamp_et,entry_trade_date_et,exit_trade_date_et,entry_option_price,exit_option_price,entry_spot,exit_spot,entry_iv_pct,exit_iv_pct,contracts,allocated_cash,proceeds,pnl,return_pct,success_rate,matched_signals,current_drop_pct_at_entry,exit_reason,business_days_held,asset_type,execution_mode
AVGO_20260324T150005,AVGO,AVGO260515C00320000,2026-03-24T15:00:05.740108-04:00,2026-03-26T10:30:00.722036-04:00,2026-03-24,2026-03-26,22.725,20.025,318.54998779296875,314.5299987792969,48.32204998779297,48.60586062622071,2,4545.0,4004.999999999999,-540.0000000000005,-11.881188118811892,93.33,30,1.23,stop_scan,2,,
FANG_20260325T150003,FANG,FANG260515C00195000,2026-03-25T15:00:03.353246-04:00,2026-03-26T10:30:00.722036-04:00,2026-03-25,2026-03-26,12.2,13.9,195.52999877929688,200.19000244140625,41.94393994140625,40.85142156982422,4,4880.0,5560.0,680.0,13.934426229508196,100.0,25,0.78,tp_day1_scan,1,,
ABNB_20260326T150001,ABNB,ABNB260515C00130000,2026-03-26T15:00:01.983935-04:00,2026-03-27T10:00:06.175720-04:00,2026-03-26,2026-03-27,9.85,8.725,130.7899932861328,125.87999725341795,51.92919165039063,56.52509295654298,5,4925.0,4362.5,-562.5,-11.421319796954316,94.29,35,0.77,stop_loss_hit_at_scan,1,,
HON_20260327T150004,HON,HON260501C00225000,2026-03-27T15:00:04.241996-04:00,2026-03-30T16:00:01.901878-04:00,2026-03-27,2026-03-30,9.2,8.0,223.63999938964844,223.48,39.46593737792969,35.10807080078124,5,4599.999999999999,4000.0,-599.9999999999991,-13.043478260869549,100.0,20,0.68,stop_loss_hit_at_scan,1,,
FANG_20260330T150004,FANG,FANG260515C00200000,2026-03-30T15:00:04.861501-04:00,2026-03-31T10:30:05.893788-04:00,2026-03-30,2026-03-31,11.5,12.8,198.6999969482422,201.8249969482422,43.311113769531254,44.91021887207031,3,3450.0,3840.0,390.0,11.304347826086955,100.0,15,1.56,take_profit_day1_hit_at_scan,1,,
FANG_20260331T150005,FANG,FANG260515C00195000,2026-03-31T15:00:05.885528-04:00,2026-03-31T16:00:05.906472-04:00,2026-03-31,2026-03-31,12.15,13.4,197.3650054931641,197.79,40.692731750488285,44.09845941162109,3,3645.0,4019.999999999999,374.9999999999991,10.288065843621377,100.0,26,0.65,take_profit_day1_hit_at_scan,0,,
NFLX_20260401T145005,NFLX,NFLX260508C00096000,2026-04-01T14:50:05.934010-04:00,2026-04-02T11:20:05.893680-04:00,2026-04-01,2026-04-02,4.875,6.1,95.55999755859376,97.69499969482422,41.736422485351554,45.23980541992188,9,4387.5,5490.0,1102.5,25.128205128205128,94.87,39,0.58,take_profit_day1_hit_at_scan,1,,
WDC_20260402T145005,WDC,WDC260501C00295000,2026-04-02T14:50:05.884978-04:00,2026-04-06T10:20:05.891442-04:00,2026-04-02,2026-04-06,27.425,33.375,294.7699890136719,309.8800048828125,81.84222259521484,78.74777111816407,1,2742.5,3337.5,595.0,21.695533272561537,97.22,36,0.99,take_profit_day1_hit_at_scan,1,,
HON_20260406T145005,HON,HON260515C00230000,2026-04-06T14:50:05.889227-04:00,2026-04-07T11:50:05.887768-04:00,2026-04-06,2026-04-07,7.4,5.8,227.61000061035156,223.27000427246097,28.888650573730455,30.34737622070312,7,5180.0,4060.0,-1120.0,-21.62162162162162,100.0,20,0.8,stop_loss_hit_at_scan,1,,
TSLA_20260407T145004,TSLA,TSLA260515C00340000,2026-04-07T14:50:04.918653-04:00,2026-04-08T10:20:06.424630-04:00,2026-04-07,2026-04-08,23.4,30.049999999999997,340.8299865722656,349.92999267578125,51.947502014160165,56.23212713623047,2,4680.0,6009.999999999999,1329.999999999999,28.4188034188034,100.0,13,3.4,take_profit_day1_hit_at_scan,1,,
FTNT_20260408T145003,FTNT,FTNT260508C00083000,2026-04-08T14:50:03.439007-04:00,2026-04-09T09:30:04.707036-04:00,2026-04-08,2026-04-09,5.375,6.75,82.7698974609375,83.62999725341797,57.0316796875,0.001,10,5375.0,6750.0,1375.0,25.581395348837212,91.89,37,1.13,take_profit_day1_hit_at_scan,1,,
REGN_20260409T145003,REGN,REGN260515C00765000,2026-04-09T14:50:03.978140-04:00,2026-04-10T11:50:06.437190-04:00,2026-04-09,2026-04-10,44.0,36.1,764.0700073242188,746.1199951171875,48.921714401245126,50.16834500122071,1,4400.0,3610.0,-790.0,-17.954545454545453,100.0,21,1.48,stop_loss_hit_at_scan,1,,
HON_20260410T145001,HON,HON260522C00235000,2026-04-10T14:50:01.462254-04:00,2026-04-13T09:30:05.721136-04:00,2026-04-10,2026-04-13,8.3,4.5,234.52999877929688,234.7899932861328,29.291478576660147,0.196310546875,7,5810.000000000001,3150.0,-2660.000000000001,-45.78313253012049,100.0,22,0.65,stop_loss_hit_at_scan,1,option,option
